N,Z,D to use,,,,,,,,,,,,,,,,,,,
1,0,8071.317,,,,,,,,,,,,,,,,,,,
0,1,7288.971,,,,,,,,,,,,,,,,,,,
1,1,13135.72,,,,,,,,,,,,,,,,,,,
2,1,14949.81,,,,,,,,,,,,,,,,,,,
1,2,14931.21,,,,,,,,,,,,,,,,,,,
0,3,28667.01,,,,,,,,,,,,,,,,,,,
3,1,25901.52,,,,,,,,,,,,,,,,,,,
2,2,2424.916,,,,,,,,,,,,,,,,,,,
1,3,25323.19,,,,,,,,,,,,,,,,,,,
4,1,32892.44,,,,,,,,,,,,,,,,,,,
3,2,11386.23,,,,,,,,,,,,,,,,,,,
2,3,11678.89,,,,,,,,,,,,,,,,,,,
1,4,37996.01,,,,,,,,,,,,,,,,,,,
5,1,41863.76,,,,,,,,,,,,,,,,,,,
4,2,17595.11,,,,,,,,,,,,,,,,,,,
3,3,14086.79,,,,,,,,,,,,,,,,,,,
2,4,18374.95,,,,,,,,,,,,,,,,,,,
1,5,43603.01,,,,,,,,,,,,,,,,,,,
6,1,49135.01,,,,,,,,,,,,,,,,,,,
5,2,26101.04,,,,,,,,,,,,,,,,,,,
4,3,14908.14,,,,,,,,,,,,,,,,,,,
3,4,15770.03,,,,,,,,,,,,,,,,,,,
2,5,27868.35,,,,,,,,,,,,,,,,,,,
6,2,31598.04,,,,,,,,,,,,,,,,,,,
5,3,20946.84,,,,,,,,,,,,,,,,,,,
4,4,4941.672,,,,,,,,,,,,,,,,,,,
3,5,22921.49,,,,,,,,,,,,,,,,,,,
2,6,35094.06,,,,,,,,,,,,,,,,,,,
7,2,40939.43,,,,,,,,,,,,,,,,,,,
6,3,24954.26,,,,,,,,,,,,,,,,,,,
5,4,11347.65,,,,,,,,,,,,,,,,,,,
4,5,12415.68,,,,,,,,,,,,,,,,,,,
3,6,28910.49,,,,,,,,,,,,,,,,,,,
8,2,48809.2,,,,,,,,,,,,,,,,,,,
7,3,33050.58,,,,,,,,,,,,,,,,,,,
6,4,12606.67,,,,,,,,,,,,,,,,,,,
5,5,12050.73,,,,,,,,,,,,,,,,,,,
4,6,15698.68,,,,,,,,,,,,,,,,,,,
