Z,N,UQ,DQ,Mass Excess [MeV],Mass Error,Mass Estimated,Neutron separation energy [MeV],Separation Error,Seperation Estimated
0,1,1,2,8.07131713,4.00E-07,0,0,0,0
1,0,2,1,7.28897061,0,0,NaN,NaN,
1,1,3,3,13.13572176,1.00E-07,0,2.22457,0,0
1,2,4,5,14.94980993,2.00E-07,0,6.25723,0,0
1,3,5,7,24.621127,0.1,0,-1.6,0.1,0
1,4,6,9,32.892444,0.089443,0,-0.2,0.13416,0
1,5,7,11,41.875721,0.254127,0,-0.91196,0.26941,0
1,6,8,13,49.135,1.004,1,0.812,1.036,1
2,1,5,4,14.93121793,2.00E-07,0,NaN,NaN,
2,2,6,6,2.42491561,0,0,20.57762,0,0
2,3,7,8,11.231233,0.02,0,-0.735,0.02,0
2,4,8,10,17.592095,0.000053,0,1.71045,0.02,0
2,5,9,12,26.073126,0.007559,0,-0.40971,0.00756,0
2,6,10,14,31.609681,0.000089,0,2.53476,0.00756,0
2,7,11,16,40.935826,0.046816,0,-1.25483,0.04682,0
2,8,12,18,49.197143,0.092848,0,-0.19,0.10398,0
3,0,6,3,28.667,2,1,NaN,NaN,
3,1,7,5,25.323189,0.212132,0,11.415,2.011,1
3,2,8,7,11.678886,0.05,0,21.71562,0.21794,0
3,3,9,9,14.08687895,0.0000014,0,5.66332,0.05,0
3,4,10,11,14.90710529,0.0000042,0,7.25109,0,0
3,5,11,13,20.945804,0.000047,0,2.03262,0.00005,0
3,6,12,15,24.954902,0.000186,0,4.06222,0.00019,0
3,7,13,17,33.052624,0.012721,0,-0.0264,0.01272,0
3,8,14,19,40.728254,0.000615,0,0.39569,0.01274,0
3,9,15,21,49.009571,0.030006,0,-0.21,0.03,0
3,10,16,23,56.980888,0.070003,0,0.1,0.07616,0
4,1,9,6,37.139,2.003,1,NaN,NaN,
4,2,10,8,18.375033,0.005448,0,26.835,2.003,1
4,3,11,10,15.768999,0.000071,0,10.67735,0.00545,0
4,4,12,12,4.941671,0.000035,0,18.89864,0.00008,0
4,5,13,14,11.348453,0.000077,0,1.66454,0.00008,0
4,6,14,16,12.607488,0.000081,0,6.81228,0.00005,0
4,7,15,18,20.177167,0.000238,0,0.50164,0.00025,0
4,8,16,20,25.07776,0.001909,0,3.17072,0.00192,0
4,9,17,22,33.659077,0.01018,0,-0.51,0.01,0
4,10,18,24,39.954498,0.132245,0,1.7759,0.13264,0
4,11,19,26,49.825815,0.165797,0,-1.8,0.1,0
4,12,20,28,57.447132,0.165797,0,0.45,0.14142,0
5,1,11,7,47.32,2.003,1,NaN,NaN,
5,2,12,9,27.67655,0.02515,0,27.715,2.003,1
5,3,13,11,22.921567,0.001,0,12.8263,0.02517,0
5,4,14,13,12.416488,0.000903,0,18.5764,0.00135,0
5,5,15,15,12.050609,0.000015,0,8.4372,0.0009,0
5,6,16,17,8.667707,0.000012,0,11.45422,0.00002,0
