Z,N,Mass Excess [MeV],Error,Estimated
0,1,8.07131713,4.00E-07,0
1,0,7.28897061,0,0
1,1,13.13572176,1.00E-07,0
1,2,14.94980993,2.00E-07,0
1,3,24.621127,0.1,0
1,4,32.892444,0.089443,0
1,5,41.875721,0.254127,0
1,6,49.135,1.004,1
2,1,14.93121793,2.00E-07,0
2,2,2.42491561,0,0
2,3,11.231233,0.02,0
2,4,17.592095,0.000053,0
2,5,26.073126,0.007559,0
2,6,31.609681,0.000089,0
2,7,40.935826,0.046816,0
2,8,49.197143,0.092848,0
3,0,28.667,2,1
3,1,25.323189,0.212132,0
3,2,11.678886,0.05,0
3,3,14.08687895,0.0000014,0
3,4,14.90710529,0.0000042,0
3,5,20.945804,0.000047,0
3,6,24.954902,0.000186,0
3,7,33.052624,0.012721,0
3,8,40.728254,0.000615,0
3,9,49.009571,0.030006,0
3,10,56.980888,0.070003,0
4,1,37.139,2.003,1
4,2,18.375033,0.005448,0
4,3,15.768999,0.000071,0
4,4,4.941671,0.000035,0
4,5,11.348453,0.000077,0
4,6,12.607488,0.000081,0
4,7,20.177167,0.000238,0
4,8,25.07776,0.001909,0
4,9,33.659077,0.01018,0
4,10,39.954498,0.132245,0
4,11,49.825815,0.165797,0
4,12,57.447132,0.165797,0
5,1,47.32,2.003,1
5,2,27.67655,0.02515,0
5,3,22.921567,0.001,0
5,4,12.416488,0.000903,0
5,5,12.050609,0.000015,0
5,6,8.667707,0.000012,0
5,7,13.369397,0.001321,0
5,8,16.561947,0.001,0
5,9,23.663685,0.021213,0
5,10,28.958242,0.021032,0
5,11,37.11251,0.024569,0
5,12,43.716317,0.204104,0
5,13,51.792634,0.204165,0
5,14,59.770244,0.525363,0
5,15,68.45,0.8,1
5,16,77.33,0.9,1
6,2,35.064268,0.018243,0
6,3,28.910972,0.002137,0
6,4,15.698672,0.00007,0
6,5,10.649396,0.00006,0
6,6,0,0,0
6,7,3.12500888,2.00E-07,0
6,8,3.01989278,0.0000037,0
6,9,9.873144,0.0008,0
6,10,13.694132,0.003578,0
6,11,21.031898,0.017365,0
6,12,24.919264,0.03,0
6,13,32.413752,0.098389,0
6,14,37.503563,0.230625,0
6,15,45.643,0.596,1
6,16,53.611197,0.23149,0
6,17,64.171,0.997,1
7,3,38.800026,0.4,0
7,4,24.303559,0.046154,0
7,5,17.338068,0.001,0
7,6,5.345481,0.00027,0
7,7,2.86341672,1.00E-07,0
7,8,0.10143871,6.00E-07,0
7,9,5.683907,0.002301,0
7,10,7.870079,0.015,0
7,11,13.113168,0.01857,0
7,12,15.856282,0.016404,0
7,13,21.766496,0.078894,0
7,14,25.231913,0.134048,0
7,15,31.764801,0.207779,0
7,16,36.720425,0.42057,0
7,17,46.938,0.401,1
7,18,55.983,0.503,1
8,4,31.914613,0.024,0
8,5,23.115432,0.009526,0
8,6,8.007781,0.000025,0
8,7,2.855605,0.000491,0
8,8,-4.73700135,1.00E-07,0
8,9,-0.80876348,6.00E-07,0
8,10,-0.7828156,7.00E-07,0
8,11,3.332858,0.002637,0
8,12,3.796172,0.000885,0
8,13,8.062035,0.012,0
8,14,9.283033,0.056921,0
8,15,14.621369,0.121712,0
8,16,18.500402,0.164874,0
8,17,27.329027,0.165084,0
8,18,34.661037,0.16495,0
8,19,44.67,0.5,1
8,20,52.08,0.699,1
9,5,31.964402,0.041119,0
9,6,16.566751,0.014,0
9,7,10.680253,0.008321,0
9,8,1.951702,0.000248,0
9,9,0.873113,0.000463,0
9,10,-1.4874442,8.00E-07,0
9,11,-0.017463,0.00003,0
9,12,-0.047605,0.0018,0
9,13,2.793373,0.012399,0
9,14,3.285263,0.03332,0
9,15,7.544515,0.09767,0
9,16,11.334166,0.096442,0
9,17,18.648875,0.111199,0
9,18,25.450279,0.38983,0
9,19,33.741596,0.393024,0
9,20,40.150186,0.525363,0
9,21,48.112,0.596,1
9,22,56.143,0.546,1
10,5,40.215373,0.066684,0
10,6,23.986776,0.02048,0
10,7,16.500447,0.000354,0
10,8,5.317614,0.000363,0
10,9,1.75205,0.00016,0
10,10,-7.04193055,0.0000015,0
10,11,-5.731776,0.000038,0
10,12,-8.024719,0.000018,0
10,13,-5.154049,0.000104,0
10,14,-5.951646,0.000513,0
10,15,-2.035502,0.029045,0
10,16,0.481114,0.018429,0
10,17,7.050909,0.09077,0
10,18,11.299737,0.126068,0
10,19,18.399801,0.149505,0
10,20,23.280117,0.25325,0
10,21,31.181591,0.266195,0
10,22,36.999,0.503,1
10,23,45.997,0.596,1
10,24,52.842,0.513,1
11,6,35.173214,1.001356,0
11,7,25.037988,0.093881,0
11,8,12.92939,0.010535,0
11,9,6.850604,0.001114,0
11,10,-2.184631,0.000098,0
11,11,-5.181511,0.000171,0
11,12,-9.52985248,0.0000018,0
11,13,-8.417901,0.000017,0
11,14,-9.357813,0.0012,0
11,15,-6.86078,0.003502,0
11,16,-5.51779,0.003726,0
11,17,-0.988315,0.010246,0
11,18,2.679994,0.007337,0
11,19,8.47467,0.004727,0
11,20,12.246031,0.013972,0
11,21,18.640151,0.03726,0
11,22,23.78011,0.449912,0
11,23,31.680111,0.599416,0
11,24,38.231,0.67,1
11,25,46.303,0.678,1
11,26,53.534,0.687,1
12,7,31.828389,0.050001,0
12,8,17.477692,0.001863,0
12,9,10.90385,0.000755,0
12,10,-0.399933,0.000313,0
12,11,-5.473513,0.000158,0
12,12,-13.933569,0.000013,0
12,13,-13.192783,0.000047,0
12,14,-16.214542,0.00003,0
12,15,-14.586611,0.00005,0
12,16,-15.018845,0.002001,0
12,17,-10.602829,0.0114,0
12,18,-8.88382,0.003447,0
12,19,-3.122151,0.003074,0
12,20,-0.8289,0.00326,0
12,21,4.962297,0.002888,0
12,22,8.323348,0.028876,0
12,23,15.639784,0.269668,0
12,24,20.380157,0.690237,0
12,25,28.211474,0.698947,0
12,26,34.074,0.503,1
12,27,42.275,0.513,1
12,28,48.35,0.5,1
13,8,26.99,0.596,1
13,9,18.201,0.401,1
13,10,6.74807,0.000345,0
13,11,-0.048865,0.000233,0
13,12,-8.915975,0.000065,0
13,13,-12.210151,0.000067,0
13,14,-17.196861,0.000047,0
13,15,-16.850645,0.000077,0
13,16,-18.20776,0.000345,0
13,17,-15.864844,0.002888,0
13,18,-14.950706,0.002236,0
13,19,-11.099367,0.007173,0
13,20,-8.49738,0.006986,0
13,21,-3.000289,0.003074,0
13,22,-0.223728,0.007359,0
13,23,5.950384,0.149505,0
13,24,9.809563,0.180244,0
13,25,16.209859,0.374461,0
13,26,20.65,0.4,1
13,27,27.59,0.4,1
13,28,33.42,0.5,1
13,29,40.1,0.6,1
13,30,47.02,0.8,1
14,8,33.338,0.503,1
14,9,23.697,0.503,1
14,10,10.745195,0.019472,0
14,11,3.827324,0.01,0
14,12,-7.141015,0.000108,0
14,13,-12.384503,0.000107,0
14,14,-21.4927943,4.00E-07,0
14,15,-21.89507838,5.00E-07,0
14,16,-24.43296,0.000022,0
14,17,-22.949036,0.000043,0
14,18,-24.077686,0.000298,0
14,19,-20.514325,0.000699,0
14,20,-19.956852,0.014118,0
14,21,-14.391457,0.035857,0
14,22,-12.436124,0.071797,0
14,23,-6.571511,0.113809,0
14,24,-4.170299,0.104793,0
14,25,2.320352,0.135532,0
14,26,5.429679,0.345119,0
14,27,12.119668,0.554705,0
14,28,16.47,0.5,1
14,29,23.101,0.596,1
14,30,28.513,0.596,1
14,31,37.49,0.7,1
15,9,33.32,0.503,1
15,10,19.738,0.401,1
15,11,10.973,0.196,1
15,12,-0.722458,0.02634,0
15,13,-7.14774,0.001152,0
15,14,-16.952848,0.000359,0
15,15,-20.200854,0.000065,0
15,16,-24.44054095,6.00E-07,0
15,17,-24.304874,0.00004,0
15,18,-26.337346,0.00109,0
15,19,-24.548698,0.00081,0
15,20,-24.857799,0.001866,0
15,21,-20.251034,0.013114,0
15,22,-18.995998,0.037948,0
15,23,-14.621563,0.072581,0
15,24,-12.774634,0.112645,0
15,25,-8.11437,0.153582,0
15,26,-4.979767,0.120163,0
15,27,1.00974,0.314379,0
15,28,4.679826,0.554705,0
15,29,10.45,0.5,1
15,30,15.6,0.5,1
15,31,22.97,0.7,1
15,32,29.71,0.8,1
16,10,27.079,0.596,1
16,11,17.028,0.401,1
16,12,4.073206,0.16,0
16,13,-3.156416,0.05,0
16,14,-14.059253,0.000206,0
16,15,-19.042525,0.000229,0
16,16,-26.01553355,0.0000013,0
16,17,-26.58585434,0.0000013,0
16,18,-29.931685,0.000045,0
16,19,-28.846206,0.00004,0
16,20,-30.664131,0.000188,0
16,21,-26.896417,0.000198,0
16,22,-26.861203,0.007172,0
16,23,-23.162667,0.05,0
16,24,-22.837846,0.003982,0
16,25,-19.008577,0.004099,0
16,26,-17.637746,0.002794,0
16,27,-12.195459,0.00497,0
16,28,-9.204233,0.005216,0
16,29,-3.989589,1.035356,0
16,30,0.34,0.5,1
16,31,7.37,0.5,1
16,32,12.761,0.596,1
16,33,21.093,0.667,1
17,11,27.516,0.596,1
17,12,13.162176,0.18868,0
17,13,4.443,0.196,1
17,14,-7.034551,0.003447,0
17,15,-13.334674,0.000562,0
17,16,-21.003337,0.000391,0
17,17,-24.440082,0.000049,0
17,18,-29.013528,0.000035,0
17,19,-29.522005,0.000036,0
17,20,-31.761538,0.000052,0
17,21,-29.798103,0.000098,0
17,22,-29.800205,0.001732,0
17,23,-27.557813,0.032066,0
17,24,-27.307189,0.068723,0
17,25,-24.831767,0.059616,0
17,26,-24.159508,0.061858,0
17,27,-20.384523,0.136321,0
17,28,-18.262543,0.136163,0
17,29,-13.859398,0.208661,0
17,30,-9.78,0.4,1
17,31,-4.28,0.5,1
17,32,0.94,0.6,1
17,33,7.74,0.6,1
